geocoding_id,canonical_address,normalized_address,geocoding_status,address_count
019ab3e4-17c0-7062-0778-28786e376a14,"124 Mount Auburn Street, Cambridge, Ma, 02138","{""id"": 0, ""street"": ""124 MOUNT AUBURN STREET"", ""city"": ""CAMBRIDGE"", ""state"": ""MA"", ""zip"": ""02138""}",Match:Non_Exact,1576
019ab7c7-30d3-7f91-e7a8-d6e358aec564,"6100 Wallace Becknell Road, Santa Barbara, Ca, 93117","{""id"": 0, ""street"": ""6100 WALLACE BECKNELL ROAD"", ""city"": ""SANTA BARBARA"", ""state"": ""CA"", ""zip"": ""93117""}",Match:Non_Exact,1538
019ab3e6-264a-7f50-62c2-03359840a6b4,"4245 North Fairfax Drive Suite 100, Arlington, Va, 22203","{""id"": 0, ""street"": ""4245 NORTH FAIRFAX DRIVE SUITE 100"", ""city"": ""ARLINGTON"", ""state"": ""VA"", ""zip"": ""22203""}",Match:Non_Exact,1467
019ab72c-f83a-747a-5a6a-6ca440ef9bb8,"5192 S Greenpine Dr, Salt Lake City, Ut, 84123","{""id"": 0, ""street"": ""5192 S GREENPINE DR"", ""city"": ""SALT LAKE CITY"", ""state"": ""UT"", ""zip"": ""84123""}",Match:Non_Exact,1434
019ab76c-f165-793a-8fa4-8186521bead0,"415 East North Water Street 2301, Chicago, Il, 60611","{""id"": 0, ""street"": ""415 EAST NORTH WATER STREET 2301"", ""city"": ""CHICAGO"", ""state"": ""IL"", ""zip"": ""60611""}",Match:Non_Exact,1266
019ab3f4-f778-7dce-694e-4bafc03f892c,"15021 Ventura Blvd 552, Sherman Oaks, Ca, 91403","{""id"": 0, ""street"": ""15021 VENTURA BLVD 552"", ""city"": ""SHERMAN OAKS"", ""state"": ""CA"", ""zip"": ""91403""}",Match:Non_Exact,1254
019ab3e7-aada-7abc-c7e5-a8c12e83b48c,"208 South Great Road, Lincoln, Ma, 01773","{""id"": 0, ""street"": ""208 SOUTH GREAT ROAD"", ""city"": ""LINCOLN"", ""state"": ""MA"", ""zip"": ""01773""}",Match:Non_Exact,1042
019ab3f4-b4cb-7e6e-6ead-962fac489fd4,"4245 N Fairfax Drive Suite 100, Arlington, Va, 22203","{""id"": 0, ""street"": ""4245 N FAIRFAX DRIVE SUITE 100"", ""city"": ""ARLINGTON"", ""state"": ""VA"", ""zip"": ""22203""}",Match:Non_Exact,1033
019ab3f9-bff7-73f7-b585-88f828fade40,"6100 Wallace Becknell Rd, Santa Barbara, Ca, 93117","{""id"": 0, ""street"": ""6100 WALLACE BECKNELL RD"", ""city"": ""SANTA BARBARA"", ""state"": ""CA"", ""zip"": ""93117""}",Match:Non_Exact,1004
019ab72c-fb76-702d-59a8-c4d675c6ef34,"1828 L Street Nw Suite 300-A, Washington, Dc, 20036","{""id"": 0, ""street"": ""1828 L Street NW Suite 300-A"", ""city"": ""Washington"", ""state"": ""DC"", ""zip"": ""20036""}",Match:Non_Exact,961
